French,English
histoire,history
chercher,search
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
aucune,any
place,square
compris,understood
savais,knew
voici,here is
donner,give
type,type
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
main,hand
côté,side
vieux,old
enfant,child
point,point
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
fin,end
gros,large
plutôt,rather
aura,will have
jouer,to play
